я считаю идеально просто преподаватель ставит вопросы
"Доброе утро! Вот как ""это"" решать? Где я могу найти ответ на этот вопрос? Мне все лекции надо пересматривать?"
https://youtu.be/wy_onegI-Ow
"Если кто хочет детей приобщить к математике - рекомендую к просмотру. Профессор МФТИ (и ещё куча регалий) Савватеев преподает с увлечением, прямо как нам Солодушкин."
"Все, нашёл)"
А как в линукс создать пользователя с заглавной буквы?
А фамилия?
Дмитрий
"@patotskay можно поинтересоваться, как тебя зовут?"
если ты фитила модель с полиномами необходимо для решающей границы указать степень полинома
"скорее всего ты не выполнила преобразования для X,y  такие же как при обучении модели"
У нас одна потеряшка образовалась 💁‍♀️
"По этому фрагменту сложно что-то понять, но меня больше всего смущает строка присвоения X, y = moons. У меня из функции этот набор берётся, но у тебя это точно не функция, раз нет ()"
"Так у тебя дело не в датасете, раз синтетические данные. У тебя какие-то проблемы с размерностью матриц, судя по ошибке."
"попробую, спасиббо!"
"Кто пришел в пятую группу по хакатону, напишите мне в личку, я вас в чат добавлю"
в общем мне этот датасет помог запустить весь колаб
https://www.youtube.com/watch?v=dGWv2jfs42M
Это сообщение греет мне душу)
"говорили, что институт в целом лояльно относиться, НО бывает команда сверху зачистить ряды от особо удалённых от учёбы"
"не знаю. Но людей много. Есть кого исключать, без ущерба для бюджета."
"Интересно, сколько хвостов можно иметь? Или сразу расстрел  на месте за 1 хвост?"
С активными участниками хочется быть в группе
"короче, ребят, на мой взгляд, лучший способ избежать срача его не начинать, я срачи не начинаю но могу и поддержать"
да у тебя просто словарного запаса не хватает
Фигасе вас там сразу в 5 группу набилось)) Вот что значит активное привлечение участников команды 😄👍
"Нам нет)) я для понимания, для созвонов, если вдруг надо будет"
Да в github же работаем ... думаю не сильно критично (сам и 5 гр.)
"только из-за уважения к остальным 90 участникам, оставлю твой комментарий без ответа)"
+2 по Москве критично?
🙋‍♀️🙋‍♀️🙋‍♀️💃🏻💃🏻💃🏻
"ты наверно свою касочку инвалидную носишь, чтобы инопланетяне твоих высоких мыслей не читали, да полет у нас разны"
а тебе то чо от меня надо? я ни одного срача не начал
"Дмитрий (сержант), твоим жизнерадостности и непосредственности эмоциональных реакций можно позавидовать, конечно. Но реально уже перебор, причём давно."
"Можно отвлечь? У нас тут группа на хакатон 3 человека, по времени мы все +2 часа Мск живем, под номером 5. Кто к нам? Выбрали вторую тему"
"Ндааа… не было и вот опять)) а вроде все взрослые, цивилизованные. Все файлы для загрузок есть в лекциях на платформе."
"Аааа, ты одно слово на белорусском пишешь, а все остальные на русском? Извини, не понял высокий полет мысли 😂"
"тупой дегенерат в касочке, короче съебал в туман, увижу разобью ебало"
""
"Ты даже мою национальность правильно написать не можешь, получается уже оскорбляешь меня😂 какие бугурты? Не нравится кто-то - не реагируй, до тебя тут никто никого не оскорблял. Никто ж не называет тебя тупым за то, что ты не можешь открыть в ЛК практику по Момо и скачать датасет"
зачем эти бугурты бессмысленные?
"слушай, беларус, вот зачем ты врешь? я начал мамоебить аутиста только после того он назвал меня на ровном месте долбоебом"
дай бог
♨️сессия♨️ расставит точки 🤷‍♂️
😂
""
"ты знаешь, обычно люди у которых как и у тебя, проблемы с социализацией на грани аутизма — умны. но ты просто сотканный из комплексов прыщавый кусок дебила"
я с тобой говноедом не разговаривал
"иди поешь картошки, долбоеб"
"нет, это синтетика"
"надо этот файл поискать, мне кажется"
"тоже с коллаба при копировании ошибку дает, может кто-то подскажет или сталкивался с подобным?"
"Можно попробовать ""сообщить о спам-реакциях"". Может получится что-то сделать 🤔"
"Ща говно тебе поставит или средний палец, проверяй)"
"Сначала мамок чужих ебать, а потом просить помощи, как будто ничего не было, как будто два разных чувака😁"
"Ребят, а что там по датасету без дубликатов? В коллабе Долганова он не грузится"
"Да я препода колаб запустить не могу, по-этому склоняюсь к тому, что не те исходные данные гружу пока что"
"Хз, посмотри какие y ты туда загоняешь? Может быть ты не тот столбец за y взял. Он числовой должен быть, даже если признак категориальный. Его в cat.codes нужно переводить. Если ты для определения типа трансмиссии делаешь, то там проще вообще True False использовать."
"То есть, я походу взял какую-то не ту таблицу исходную? Нужна та, где были какие-то  преобразования?"
"Судя по ошибке, ты пытаешься строку вычесть из числа. Или наоборот. Проблема, похоже, в выражении yhat - y, что-то из них подаётся как строка."
А двумерные проекции по гк у него в колабе есть
Типа такого.
"Как я понял задание, нужно найти главные компоненты только для числовых признаков, а потом попробовать кластеризовать их так, чтобы получились кластеры, соответствующие меткам для категориальным признаков. Условно, разделить на два кластера по трансмиссии (автоматической, ручной). И для всех остальных категориальных тоже."
"это мне и отвечали)) я понял, как он работает, но не знаю, как построить для категориальных данных в соответствии с последним заданием из дз 4 по МОМО

вопрос чисто технический о построении (какие нужно вбить правильные исходные данные, чтобы сработало), а аналитику этого добра я уже сделать смогу (спасибо помощникам выше 🙏🏻)."
у кого-нить были проблемы с этим колабом?
https://urfuml22.slack.com/archives/C046M68USA0/p1672305429541249?thread_ts=1671971717.477919&cid=C046M68USA0
расписание обновили
"Погугли в этом чате ""crosstab"", уже отвечали на этот вопрос с подробным примером)"
"Ребят, а кто-нибудь в 4 задании по МОМО выполнил вот этот самый последний пункт? Я завис на построении кросстаблицы по категориальным признакам... Если сможете показать, как это делать, буду премного благодарен :)"
будет путь
"там суть в том что слева, надо открыть папку и оттуда найти файл и нажатть три точки"
"кому интересно, загрузил и через file.upload"
"короче я думаю у меня такое мнение сложилось, потому что я ориентируюсь на статистику, я ее делал по коллабам ни одного видео не посмотрел, все задания с кайфом прошли хоть и некоторые трудноватые были"
"и постепенно, смотря лекции и выполняя домашки, я реально начинаю понимать, что вообще происходит"
сколько людей столько мнений
"мне тоже нравится, всё вполне понятно и приемлемо, плюс на все вопросы мне ответили"
"толк от обучения есть, и преподаватель вполне хороший"
""
"ну типа хз, стоит просто попробовать написать с вопросом, мне всё что нужно было объяснено"
единственный предмет который прям такие чувства вызываает
"не я уже на самом деле просто готов все списать, потому что ну с таким преподом толку от всего обучения"
Он очень оперативно отвечает на сообщения
?
а кто нить загружал через вот эту шляпу
"да ничего он не в отпуске, просто пальму себе поставил в слаке:D
он только сказал, что в праздники отвечать не будет, потому что праздники — это праздники"
у меня такой рейдж был
он еще в отпуск ушел
спасибо всем
да уже понял
в кавычках адрес напиши
скажи плз
чо ему не нрваится опять?
""
df = pd.read_csv('АДРЕС')
ты их на коллаб загружаешь же все равно
я загружаю файлы через github
как его считать потом
"ты может просто подскажешь. где находится файл, после того как в коллабе ты его загрузил через files.upload?"
скачать данные
https://lms.skillfactory.ru/courses/course-v1:SkillFactory+URFUML22p1s+SEP2022/courseware/2f2092cf08654e97b07dc9017b21c61d/d84d46b29d204104bd202c16e58511ae/2?activate_block_id=block-v1%3ASkillFactory%2BURFUML22p1s%2BSEP2022%2Btype%40vertical%2Bblock%402027ef13320942568cb8097d6250808b
у меня есть на компе какой -то csv
он нигде ничего не оставил
я не могу даже карс молдова загрузить
Всё есть во втором модуле + можно с коллаба из того же модуля скачать
и главыное в отпуск ушел
нихера нигде не найдешщ
у него не методические пособия а хаос
он даже не оставил набор данных чтобы загрузить
по момо препод это просто пизец
"если цель не игры там другие видеокарты, в geforce это А что ли серия"
48 уже интересно
*размер
Без памяти = размер батча
ну как раз для обучения видеопамять и нужна
"Главное ядра вычислительные) много памяти ещё лет 10 назад на k40 было, но толку то в обучении)))"
"ну в титане 48, в 4090 24"
4090 ti 48? Не 24?
48гб памяти это не много?
Так а для каких целей такие карты? Памяти не так уж и много
"а почему бы и нет, норм тема"
"Уникальные кадры отгрузки новой видеокарты

IT Memes"
в тему:D
Шутки о размерах видеокарт теперь уже не такие уж и шутки! На фото слитые изображения Titan RTX Ada — видеокарта будет чуть ли не в 2 раза больше RTX 4090 и займёт 4 слота. Питание обеспечивается двумя разъемами по 16 пинов каждый
И вроде всё оставляет на откуп преподу
""
"Обычно дедлайн, вроде подразумевается, что говорящий не знает"
МОМО закончился ровно неделю назад => осталась 1 неделя.
"Где подтвердил, кому подтвердил? Скрин, ссылка?"
Капец.. У них 7 пятниц на неделе. Ранее говорили что все хвосты можно подтянуть в НГ праздники
"Преподаватель говорил желательно до нового года, но если не получилось ,то в январе, но не в конце сессии."
Всем привет. Сегодня Владислав подтвердил что дедлайн = 2 недели с момента окончания дисциплины => осталась 1 неделя для сдачи всех работ по МОМО. При этом сам преподаватель говорил что сдавать можно до 17 января. Есть точная информация о сроках?
"странные приколы, но спасибо"
Ответ 1081199
"import pandas as pd
melb_df = pd.read_csv(""data/melb_data.csv"") # считываем даные из файла melb_data.csv в датафрейм melb_df
df = melb_df.copy() # создаём копию df датафрейма melb_df
# print(df)
# Создаём в таблице df признак WeekdaySale и переводим столбец Date в формат datetime с помощью атрибута dayofweek
df['WeekdaySale'] = pd.to_datetime(df['Date'], dayfirst=True).dt.dayofweek
# Заносим в переменную weekend_count сколько объектов недвижимости было продано в выходные (суббота и воскресенье)
weekend_count = df['WeekdaySale'].value_counts()[df['WeekdaySale'].value_counts().index >= 5].sum()
print(weekend_count)

def get_weekend(weekday): # Принимает на вход элемент столбца WeekdaySale
    if weekday >= 5: # возвращаем 1, если день является выходным
        return 1
    else: # возвращаем 0 в противном случае
        return 0

# Cоздадим столбец Weekend в таблице df с помощью функции get_weekend()
df['Weekday'] = df['WeekdaySale'].apply(get_weekend)
print(df['Weekday'])
weekday_only = df[df['Weekday'] == 1] # фильтруем из данных недвижимость, проданную в выходные дни
weekday_mean = round(weekday_only['Price'].mean()) # Средняя цена объекта недвижимости, проданного в выходные дни
print(weekday_mean)"
"Питон про, 5.1.3"
Это какой модуль? Питон Про? В Base не такое 7.3.2 и 8.3.2
"Я знаю что ответ не округлен, я пытался угадать"
""
"Что не так я делаю, кто знает?"
"На конкретном примере: здесь ""тройки"" из набора рукописных цифр попали в 0-й кластер 3320 раз, в 8-й кластер 2043. Также в 0-й кластер попали ""пятерки"" (1501 раз) и ""восьмерки"" (710 раз). И так далее. Номер кластера здесь ни о чём изначально не говорит, он не связан по номеру с конкретной цифрой. Из этой таблицы можно предположить, что нулевой кластер - это рукописные тройки, первый кластер - нули (или девятый), второй кластер - единицы и так далее."
